experiment_id,nr_of_subjects,is_control,questionnaire_applied_after,reference_of_experience,subject_health,quest_abbreviation,pubmed_id,doi,main_author,date_published,reference_text,abstract_text,paper_link,dosage_quantity,dosage_unit,info_induction,induction_method,injection_method,Anxiety_mean,Anxiety_std,Audio_visual_synesthesia_mean,Audio_visual_synesthesia_std,Blissful_state_mean,Blissful_state_std,Changed_meaning_of_percepts_mean,Changed_meaning_of_percepts_std,Complex_imagery_mean,Complex_imagery_std,Disembodiment_mean,Disembodiment_std,Elementary_imagery_mean,Elementary_imagery_std,Experience_of_unity_mean,Experience_of_unity_std,Impaired_control_and_cognition_mean,Impaired_control_and_cognition_std,Insightfulness_mean,Insightfulness_std,Spiritual_experience_mean,Spiritual_experience_std
347,17,0,360,NULL,healthy,5D-ASC(11D+2D),22578254,http://dx.doi.org/10.1016/j.biopsych.2012.04.005,"Kometer M","2012 Dec 1","Kometer, M., Schmidt, A., Bachmann, R., Studerus, E., Seifritz, E. & Vollenweider, F.X. (2012) Psilocybin biases facial recognition, goal-directed behavior, and mood state toward positive relative to negative emotions through different serotonergic subreceptors. Biological psychiatry, 11, 898-906.","BACKGROUND: Serotonin (5-HT) 1A and 2A receptors have been associated with
dysfunctional emotional processing biases in mood disorders. These receptors
further predominantly mediate the subjective and behavioral effects of psilocybin
and might be important for its recently suggested antidepressive effects.
However, the effect of psilocybin on emotional processing biases and the specific
contribution of 5-HT2A receptors across different emotional domains is unknown.
METHODS: In a randomized, double-blind study, 17 healthy human subjects received 
on 4 separate days placebo, psilocybin (215 Î¼g/kg), the preferential 5-HT2A
antagonist ketanserin (50 mg), or psilocybin plus ketanserin. Mood states were
assessed by self-report ratings, and behavioral and event-related potential
measurements were used to quantify facial emotional recognition and goal-directed
behavior toward emotional cues.
RESULTS: Psilocybin enhanced positive mood and attenuated recognition of negative
facial expression. Furthermore, psilocybin increased goal-directed behavior
toward positive compared with negative cues, facilitated positive but inhibited
negative sequential emotional effects, and valence-dependently attenuated the
P300 component. Ketanserin alone had no effects but blocked the
psilocybin-induced mood enhancement and decreased recognition of negative facial 
expression.
CONCLUSIONS: This study shows that psilocybin shifts the emotional bias across
various psychological domains and that activation of 5-HT2A receptors is central 
in mood regulation and emotional face recognition in healthy subjects. These
findings may not only have implications for the pathophysiology of dysfunctional 
emotional biases but may also provide a framework to delineate the mechanisms
underlying psylocybin's putative antidepressant effects.",NULL,215,μg/kg,"placebo or ketanserin (50mg) (pretreatment) followed after 1 hour by placebo or psyilocybin(215 g/kg) (treatment). These specific doses were chosen because they have previously been shown to effectively induce or block the associated changes in conscious states, respectively (41). The time delay between pretreatment and treatment was 1 hour to ensure maximal 5-HT2A receptor occupancy.",Psilocybin,"capsule (oral)",4.18,7.72,21.82,22.61,42.62,13.75,31.48,26.94,44.31,24.87,24.15,26.75,56.88,27.50,25.77,20.35,17.17,15.83,30.69,21.85,16.31,16.95
348,17,0,360,NULL,healthy,5D-ASC(11D+2D),22578254,http://dx.doi.org/10.1016/j.biopsych.2012.04.005,"Kometer M","2012 Dec 1","Kometer, M., Schmidt, A., Bachmann, R., Studerus, E., Seifritz, E. & Vollenweider, F.X. (2012) Psilocybin biases facial recognition, goal-directed behavior, and mood state toward positive relative to negative emotions through different serotonergic subreceptors. Biological psychiatry, 11, 898-906.","BACKGROUND: Serotonin (5-HT) 1A and 2A receptors have been associated with
dysfunctional emotional processing biases in mood disorders. These receptors
further predominantly mediate the subjective and behavioral effects of psilocybin
and might be important for its recently suggested antidepressive effects.
However, the effect of psilocybin on emotional processing biases and the specific
contribution of 5-HT2A receptors across different emotional domains is unknown.
METHODS: In a randomized, double-blind study, 17 healthy human subjects received 
on 4 separate days placebo, psilocybin (215 Î¼g/kg), the preferential 5-HT2A
antagonist ketanserin (50 mg), or psilocybin plus ketanserin. Mood states were
assessed by self-report ratings, and behavioral and event-related potential
measurements were used to quantify facial emotional recognition and goal-directed
behavior toward emotional cues.
RESULTS: Psilocybin enhanced positive mood and attenuated recognition of negative
facial expression. Furthermore, psilocybin increased goal-directed behavior
toward positive compared with negative cues, facilitated positive but inhibited
negative sequential emotional effects, and valence-dependently attenuated the
P300 component. Ketanserin alone had no effects but blocked the
psilocybin-induced mood enhancement and decreased recognition of negative facial 
expression.
CONCLUSIONS: This study shows that psilocybin shifts the emotional bias across
various psychological domains and that activation of 5-HT2A receptors is central 
in mood regulation and emotional face recognition in healthy subjects. These
findings may not only have implications for the pathophysiology of dysfunctional 
emotional biases but may also provide a framework to delineate the mechanisms
underlying psylocybin's putative antidepressant effects.",NULL,"20 + 215","μg/kg + μg/kg","placebo or ketanserin (50mg) (pretreatment) followed after 1 hour by placebo or psyilocybin(215 g/kg) (treatment). These specific doses were chosen because they have previously been shown to effectively induce or block the associated changes in conscious states, respectively (41). The time delay between pretreatment and treatment was 1 hour to ensure maximal 5-HT2A receptor occupancy. + placebo or ketanserin (50mg) (pretreatment) followed after 1 hour by placebo or psyilocybin(215 g/kg) (treatment). These specific doses were chosen because they have previously been shown to effectively induce or block the associated changes in conscious states, respectively (41). The time delay between pretreatment and treatment was 1 hour to ensure maximal 5-HT2A receptor occupancy.","Ketanserin + Psilocybin","capsule (oral) + capsule (oral)",1.04,3.01,0.36,0.94,2.26,1.91,1.28,3.01,1.52,4.15,2.34,4.90,4.61,6.78,1.48,4.52,3.74,8.86,1.20,3.39,0.68,1.70
349,21,0,240,NULL,healthy,5D-ASC(11D+2D),22836372,10.1007/s00213-012-2811-0,"Schmidt A","2013 Jan","Schmidt, A., Kometer, M., Bachmann, R., Seifritz, E. & Vollenweider, F. (2013) The NMDA antagonist ketamine and the 5-HT agonist psilocybin produce dissociable effects on structural encoding of emotional face expressions. Psychopharmacology, 1, 227-39.","RATIONALE: Both glutamate and serotonin (5-HT) play a key role in the
pathophysiology of emotional biases. Recent studies indicate that the glutamate
N-methyl-D-aspartate (NMDA) receptor antagonist ketamine and the 5-HT receptor
agonist psilocybin are implicated in emotion processing. However, as yet, no
study has systematically compared their contribution to emotional biases.
OBJECTIVES: This study used event-related potentials (ERPs) and signal detection 
theory to compare the effects of the NMDA (via S-ketamine) and 5-HT (via
psilocybin) receptor system on non-conscious or conscious emotional face
processing biases.
METHODS: S-ketamine or psilocybin was administrated to two groups of healthy
subjects in a double-blind within-subject placebo-controlled design. We
behaviorally assessed objective thresholds for non-conscious discrimination in
all drug conditions. Electrophysiological responses to fearful, happy, and
neutral faces were subsequently recorded with the face-specific P100 and N170
ERP.
RESULTS: Both S-ketamine and psilocybin impaired the encoding of fearful faces as
expressed by a reduced N170 over parieto-occipital brain regions. In contrast,
while S-ketamine also impaired the encoding of happy facial expressions,
psilocybin had no effect on the N170 in response to happy faces.
CONCLUSION: This study demonstrates that the NMDA and 5-HT receptor systems
differentially contribute to the structural encoding of emotional face
expressions as expressed by the N170. These findings suggest that the assessment 
of early visual evoked responses might allow detecting pharmacologically induced 
changes in emotional processing biases and thus provides a framework to study the
pathophysiology of dysfunctional emotional biases.",NULL,10.006,"mg/5min + mg/kg/min
","10 mg over 5 min was given.
Following a 1-min break, a continuous infusion with
0.006 mg/kg/min was administered over 80 min. To keep
S-ketamine’s plasma level fairly constant, the dose was
reduced every 10 min by 10 %; In both groups, subjects underwent two sessions (placebo/
active drug) in a counterbalanced and double-blind fashion
at an interval of at least 2 weeks","Ketamine (S-Ketamine)",i.v.,6.91,11.22,26.50,30.86,24.40,19.24,19.50,24.45,15.83,26.85,37.17,32.87,11.81,24.45,28.95,27.26,27.73,16.03,17.75,25.65,12.33,22.44
350,21,0,360,NULL,healthy,5D-ASC(11D+2D),22836372,10.1007/s00213-012-2811-0,"Schmidt A","2013 Jan","Schmidt, A., Kometer, M., Bachmann, R., Seifritz, E. & Vollenweider, F. (2013) The NMDA antagonist ketamine and the 5-HT agonist psilocybin produce dissociable effects on structural encoding of emotional face expressions. Psychopharmacology, 1, 227-39.","RATIONALE: Both glutamate and serotonin (5-HT) play a key role in the
pathophysiology of emotional biases. Recent studies indicate that the glutamate
N-methyl-D-aspartate (NMDA) receptor antagonist ketamine and the 5-HT receptor
agonist psilocybin are implicated in emotion processing. However, as yet, no
study has systematically compared their contribution to emotional biases.
OBJECTIVES: This study used event-related potentials (ERPs) and signal detection 
theory to compare the effects of the NMDA (via S-ketamine) and 5-HT (via
psilocybin) receptor system on non-conscious or conscious emotional face
processing biases.
METHODS: S-ketamine or psilocybin was administrated to two groups of healthy
subjects in a double-blind within-subject placebo-controlled design. We
behaviorally assessed objective thresholds for non-conscious discrimination in
all drug conditions. Electrophysiological responses to fearful, happy, and
neutral faces were subsequently recorded with the face-specific P100 and N170
ERP.
RESULTS: Both S-ketamine and psilocybin impaired the encoding of fearful faces as
expressed by a reduced N170 over parieto-occipital brain regions. In contrast,
while S-ketamine also impaired the encoding of happy facial expressions,
psilocybin had no effect on the N170 in response to happy faces.
CONCLUSION: This study demonstrates that the NMDA and 5-HT receptor systems
differentially contribute to the structural encoding of emotional face
expressions as expressed by the N170. These findings suggest that the assessment 
of early visual evoked responses might allow detecting pharmacologically induced 
changes in emotional processing biases and thus provides a framework to study the
pathophysiology of dysfunctional emotional biases.",NULL,115,μg/kg,"To keep
S-ketamine’s plasma level fairly constant, the dose was
reduced every 10 min by 10 %;In both groups, subjects underwent two sessions (placebo/
active drug) in a counterbalanced and double-blind fashion
at an interval of at least 2 weeks",Psilocybin,"capsule (oral)",3.76,8.02,25.98,32.06,28.25,24.85,29.12,21.64,25.10,19.64,12.86,15.23,26.33,21.24,18.81,17.63,16.88,12.83,17.58,25.65,9.18,13.62
371,22,0,NULL,NULL,healthy,5D-ASC(11D+2D),28132813,10.1016/j.cub.2016.12.030,"Preller KH","2017 Feb 6","Preller, K.H., Herdener, M., Pokorny, T., Planzer, A., Kraehenmann, R., StÃ¤mpfli, P., Liechti, M.E., Seifritz, E. & Vollenweider, F.X. (2017) The Fabric of Meaning and Subjective Effects in LSD-Induced States Depend on Serotonin 2A Receptor Activation. Current biology : CB, 3, 451-457.","A core aspect of the human self is the attribution ofÂ personal relevance to
everyday stimuli enabling us to experience our environment as meaningful [1].
However, abnormalities in the attribution of personal relevance to sensory
experiences are also critical features of many psychiatric disordersÂ [2, 3].
Despite their clinical relevance, the neurochemical and anatomical substrates
enabling meaningful experiences are largely unknown. Therefore, we investigated
the neuropharmacology of personal relevance processing in humans by combining
fMRI and the administration of the mixed serotonin (5-HT) and dopamine receptor
(R) agonist lysergic acid diethylamide (LSD), well known to alter the subjective 
meaning of percepts, with and without pretreatment with the 5-HT2AR antagonist
ketanserin. General subjective LSD effects were fully blocked by ketanserin. In
addition, ketanserin inhibited the LSD-induced attribution of personal relevance 
to previously meaningless stimuli and modulated the processing of meaningful
stimuli in cortical midline structures. These findings point toÂ the crucial role 
of the 5-HT2AR subtype andÂ cortical midline regions in the generation and
attribution of personal relevance. Our results thus increase our mechanistic
understanding of personal relevance processing and reveal potential targets for
the treatment of psychiatric illnesses characterized by alterations in personal
relevance attribution.",NULL,100,µg,"after pretreatment with placebo (179 mg Mannitol and1mg Aerosil po)",LSD,oral,10.21,18.72,49.47,42.13,43.19,31.83,33.07,27.15,59.13,31.83,56.41,29.95,65.29,30.89,45.92,35.57,29.26,24.39,28.99,29.02,22.81,30.89
372,22,0,NULL,NULL,healthy,5D-ASC(11D+2D),28132813,10.1016/j.cub.2016.12.030,"Preller KH","2017 Feb 6","Preller, K.H., Herdener, M., Pokorny, T., Planzer, A., Kraehenmann, R., StÃ¤mpfli, P., Liechti, M.E., Seifritz, E. & Vollenweider, F.X. (2017) The Fabric of Meaning and Subjective Effects in LSD-Induced States Depend on Serotonin 2A Receptor Activation. Current biology : CB, 3, 451-457.","A core aspect of the human self is the attribution ofÂ personal relevance to
everyday stimuli enabling us to experience our environment as meaningful [1].
However, abnormalities in the attribution of personal relevance to sensory
experiences are also critical features of many psychiatric disordersÂ [2, 3].
Despite their clinical relevance, the neurochemical and anatomical substrates
enabling meaningful experiences are largely unknown. Therefore, we investigated
the neuropharmacology of personal relevance processing in humans by combining
fMRI and the administration of the mixed serotonin (5-HT) and dopamine receptor
(R) agonist lysergic acid diethylamide (LSD), well known to alter the subjective 
meaning of percepts, with and without pretreatment with the 5-HT2AR antagonist
ketanserin. General subjective LSD effects were fully blocked by ketanserin. In
addition, ketanserin inhibited the LSD-induced attribution of personal relevance 
to previously meaningless stimuli and modulated the processing of meaningful
stimuli in cortical midline structures. These findings point toÂ the crucial role 
of the 5-HT2AR subtype andÂ cortical midline regions in the generation and
attribution of personal relevance. Our results thus increase our mechanistic
understanding of personal relevance processing and reveal potential targets for
the treatment of psychiatric illnesses characterized by alterations in personal
relevance attribution.",NULL,"40 + 100","mg + µg","LSD (100 mg po) after pretreatment
with the 5-HT2A and a-adreno antagonist ketanserin (40mgpo).
 + LSD (100 mg po) after pretreatment
with the 5-HT2A and a-adreno antagonist ketanserin (40mgpo).
","Ketanserin + LSD","oral + oral",1.88,0.00,2.18,0.00,NULL,NULL,2.09,0.00,3.52,5.16,2.07,3.22,3.66,5.81,1.75,0.00,1.98,0.00,1.82,0.00,5.65,8.39
373,22,1,NULL,NULL,healthy,5D-ASC(11D+2D),28132813,10.1016/j.cub.2016.12.030,"Preller KH","2017 Feb 6","Preller, K.H., Herdener, M., Pokorny, T., Planzer, A., Kraehenmann, R., StÃ¤mpfli, P., Liechti, M.E., Seifritz, E. & Vollenweider, F.X. (2017) The Fabric of Meaning and Subjective Effects in LSD-Induced States Depend on Serotonin 2A Receptor Activation. Current biology : CB, 3, 451-457.","A core aspect of the human self is the attribution ofÂ personal relevance to
everyday stimuli enabling us to experience our environment as meaningful [1].
However, abnormalities in the attribution of personal relevance to sensory
experiences are also critical features of many psychiatric disordersÂ [2, 3].
Despite their clinical relevance, the neurochemical and anatomical substrates
enabling meaningful experiences are largely unknown. Therefore, we investigated
the neuropharmacology of personal relevance processing in humans by combining
fMRI and the administration of the mixed serotonin (5-HT) and dopamine receptor
(R) agonist lysergic acid diethylamide (LSD), well known to alter the subjective 
meaning of percepts, with and without pretreatment with the 5-HT2AR antagonist
ketanserin. General subjective LSD effects were fully blocked by ketanserin. In
addition, ketanserin inhibited the LSD-induced attribution of personal relevance 
to previously meaningless stimuli and modulated the processing of meaningful
stimuli in cortical midline structures. These findings point toÂ the crucial role 
of the 5-HT2AR subtype andÂ cortical midline regions in the generation and
attribution of personal relevance. Our results thus increase our mechanistic
understanding of personal relevance processing and reveal potential targets for
the treatment of psychiatric illnesses characterized by alterations in personal
relevance attribution.",NULL,"1 + 179","mg + mg","pretreatment
with placebo (179 mg Mannitol and 1 mg Aerosil
 + pretreatment
with placebo (179 mg Mannitol and 1 mg Aerosil
","Aerosil + Mannitol","oral + oral",0.00,0.00,1.83,0.00,3.06,5.16,1.97,0.00,3.52,6.45,1.94,2.58,2.73,4.52,1.75,0.00,1.97,0.00,2.04,3.22,1.42,0.00
374,24,1,720,NULL,NULL,5D-ASC(11D+2D),NULL,http://dx.doi.org/10.1101/219956,NULL,NULL,NULL,NULL,NULL,"1 + 179","mg + mg","""placebo (179mg Mannitol and Aerosil 1mg po) after pretreatment with placebo (179mg Mannitol and Aerosil 1mg po)... The 5D-ASC (a retrospective self-report
 questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience. "" + ""placebo (179mg Mannitol and Aerosil 1mg po) after pretreatment with placebo (179mg Mannitol and Aerosil 1mg po)... The 5D-ASC (a retrospective self-report
 questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience. ""","Aerosil + Manitol","oral + oral",0.00,0.00,0.00,0.00,1.50,7.30,0.00,0.00,1.78,7.30,0.54,2.70,1.09,4.70,0.00,0.00,0.00,0.00,0.68,2.00,0.00,0.00
375,24,1,180,NULL,NULL,5D-ASC(11D+2D),NULL,http://dx.doi.org/10.1101/219956,NULL,NULL,NULL,NULL,NULL,"1 + 179","mg + mg","""placebo (179mg Mannitol and Aerosil 1mg po) after pretreatment with placebo (179mg Mannitol and Aerosil 1mg po)... The 5D-ASC (a retrospective self-report
 questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience. "" + ""placebo (179mg Mannitol and Aerosil 1mg po) after pretreatment with placebo (179mg Mannitol and Aerosil 1mg po)... The 5D-ASC (a retrospective self-report
 questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience. ""","Aerosil + Manitol","oral + oral",NULL,NULL,NULL,NULL,6.80,0.00,6.30,0.00,NULL,NULL,9.10,0.00,7.20,0.00,NULL,NULL,NULL,NULL,NULL,NULL,5.90,0.00
376,24,1,250,NULL,NULL,5D-ASC(11D+2D),NULL,http://dx.doi.org/10.1101/219956,NULL,NULL,NULL,NULL,NULL,"1 + 179","mg + mg","""placebo (179mg Mannitol and Aerosil 1mg po) after pretreatment with placebo (179mg Mannitol and Aerosil 1mg po)... The 5D-ASC (a retrospective self-report
 questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience. "" + ""placebo (179mg Mannitol and Aerosil 1mg po) after pretreatment with placebo (179mg Mannitol and Aerosil 1mg po)... The 5D-ASC (a retrospective self-report
 questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience. ""","Aerosil + Manitol","oral + oral",NULL,NULL,NULL,NULL,6.80,0.00,6.30,0.00,NULL,NULL,5.90,0.00,5.90,0.00,NULL,NULL,NULL,NULL,NULL,NULL,5.90,0.00
377,24,1,360,NULL,NULL,5D-ASC(11D+2D),NULL,http://dx.doi.org/10.1101/219956,NULL,NULL,NULL,NULL,NULL,"1 + 179","mg + mg","""placebo (179mg Mannitol and Aerosil 1mg po) after pretreatment with placebo (179mg Mannitol and Aerosil 1mg po)... The 5D-ASC (a retrospective self-report
 questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience. "" + ""placebo (179mg Mannitol and Aerosil 1mg po) after pretreatment with placebo (179mg Mannitol and Aerosil 1mg po)... The 5D-ASC (a retrospective self-report
 questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience. ""","Aerosil + Manitol","oral + oral",NULL,NULL,NULL,NULL,8.80,0.00,5.90,0.00,NULL,NULL,6.80,0.00,6.80,0.00,NULL,NULL,NULL,NULL,NULL,NULL,5.50,0.00
378,24,0,720,NULL,NULL,5D-ASC(11D+2D),NULL,http://dx.doi.org/10.1101/219956,NULL,NULL,NULL,NULL,NULL,100,µg,"""LSD (100 µg po) after pretreatment with placebo (179mg Mannitol
 and Aerosil 1mg po)... The 5D-ASC (a retrospective self-report
 questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience. """,LSD,oral,9.98,14.30,52.70,38.70,45.20,29.00,33.70,27.40,57.10,30.60,52.70,27.90,64.70,26.50,44.05,35.00,29.70,24.50,30.90,30.80,22.02,27.80
379,24,0,180,NULL,NULL,5D-ASC(11D+2D),NULL,http://dx.doi.org/10.1101/219956,NULL,NULL,NULL,NULL,NULL,100,µg,"""LSD (100 µg po) after pretreatment with placebo (179mg Mannitol
 and Aerosil 1mg po)... The 5D-ASC (a retrospective self-report
 questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience. """,LSD,oral,NULL,NULL,NULL,NULL,54.90,31.40,58.90,29.42,NULL,NULL,67.00,30.40,64.20,31.40,NULL,NULL,NULL,NULL,NULL,NULL,28.80,26.50
380,24,0,250,NULL,NULL,5D-ASC(11D+2D),NULL,http://dx.doi.org/10.1101/219956,NULL,NULL,NULL,NULL,NULL,100,µg,"""LSD (100 µg po) after pretreatment with placebo (179mg Mannitol
 and Aerosil 1mg po)... The 5D-ASC (a retrospective self-report
 questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience. """,LSD,oral,NULL,NULL,NULL,NULL,39.70,31.80,38.10,31.80,NULL,NULL,45.10,28.90,45.10,33.30,NULL,NULL,NULL,NULL,NULL,NULL,22.00,26.00
381,24,0,360,NULL,NULL,5D-ASC(11D+2D),NULL,http://dx.doi.org/10.1101/219956,NULL,NULL,NULL,NULL,NULL,100,µg,"""LSD (100 µg po) after pretreatment with placebo (179mg Mannitol
 and Aerosil 1mg po)... The 5D-ASC (a retrospective self-report
 questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience. """,LSD,oral,NULL,NULL,NULL,NULL,31.70,27.90,31.30,29.90,NULL,NULL,40.30,24.30,45.30,30.30,NULL,NULL,NULL,NULL,NULL,NULL,22.30,25.00
382,24,0,720,NULL,NULL,5D-ASC(11D+2D),NULL,http://dx.doi.org/10.1101/219956,NULL,NULL,NULL,NULL,NULL,"40 + 100","mg + µg","""LSD (100 µg po) after pretreatment with the 5-HT2A
 antagonist ketanserin (40 mg po) at three different occasions two weeks apart... The 5D-ASC (a retrospective self-report questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience."" + ""LSD (100 µg po) after pretreatment with the 5-HT2A
 antagonist ketanserin (40 mg po) at three different occasions two weeks apart... The 5D-ASC (a retrospective self-report questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience.""","Ketanserin + LSD","oral + oral",0.00,0.00,0.00,0.00,2.05,8.10,0.00,0.00,3.15,6.03,1.10,3.28,2.32,6.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
383,24,0,180,NULL,NULL,5D-ASC(11D+2D),NULL,http://dx.doi.org/10.1101/219956,NULL,NULL,NULL,NULL,NULL,"40 + 100","mg + µg","""LSD (100 µg po) after pretreatment with the 5-HT2A antagonist ketanserin (40 mg po) at three different occasions two weeks apart... The 5D-ASC (a retrospective self-report questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience."" + ""LSD (100 µg po) after pretreatment with the 5-HT2A antagonist ketanserin (40 mg po) at three different occasions two weeks apart... The 5D-ASC (a retrospective self-report questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience.""","Ketanserin + LSD","oral + oral",NULL,NULL,NULL,NULL,8.40,NULL,6.40,NULL,NULL,NULL,10.40,NULL,7.60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.50,NULL
384,24,0,250,NULL,NULL,5D-ASC(11D+2D),NULL,http://dx.doi.org/10.1101/219956,NULL,NULL,NULL,NULL,NULL,"40 + 100","mg + µg","""LSD (100 µg po) after pretreatment with the 5-HT2A antagonist ketanserin (40 mg po) at three different occasions two weeks apart... The 5D-ASC (a retrospective self-report questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience."" + ""LSD (100 µg po) after pretreatment with the 5-HT2A antagonist ketanserin (40 mg po) at three different occasions two weeks apart... The 5D-ASC (a retrospective self-report questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience.""","Ketanserin + LSD","oral + oral",NULL,NULL,NULL,NULL,7.20,NULL,5.60,NULL,NULL,NULL,7.20,NULL,5.90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.60,NULL
385,24,0,360,NULL,NULL,5D-ASC(11D+2D),NULL,http://dx.doi.org/10.1101/219956,NULL,NULL,NULL,NULL,NULL,"40 + 100","mg + µg","""LSD (100 µg po) after pretreatment with the 5-HT2A antagonist ketanserin (40 mg po) at three different occasions two weeks apart... The 5D-ASC (a retrospective self-report questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience."" + ""LSD (100 µg po) after pretreatment with the 5-HT2A antagonist ketanserin (40 mg po) at three different occasions two weeks apart... The 5D-ASC (a retrospective self-report questionnaire) (60) was administered to participants 720 min after drug treatment to assess subjective experience after drug intake. In addition, a short version of the 5D-ASC was administered 180, 250, and 360 min after drug treatment to assess the time course of subjective experience.""","Ketanserin + LSD","oral + oral",NULL,NULL,NULL,NULL,6.80,NULL,5.20,NULL,NULL,NULL,6.80,NULL,6.70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.60,NULL
